hidden_dim,num_heads,num_blocks,patch_size,learning_rate,test_accuracy,inference_time_ms,status
160,6,3,1,1e-3,NA,NA,failed_error
224,2,3,1,1e-3,0.4760,NA,success
64,3,3,2,1e-3,NA,NA,failed_error
448,3,3,2,1e-3,NA,NA,failed_error
128,3,3,4,1e-3,NA,NA,failed_error
416,6,3,2,1e-3,NA,NA,failed_error
320,3,2,1,1e-3,NA,NA,failed_error
320,3,2,1,1e-3,NA,NA,failed_error
160,5,5,2,1e-3,0.4310,NA,success
480,3,2,2,1e-3,0.3928,NA,success
320,2,6,1,1e-3,0.4700,NA,success
384,5,6,1,1e-3,NA,NA,failed_error
288,5,6,2,1e-3,NA,NA,failed_error
128,2,3,1,1e-3,0.4751,NA,success
352,2,6,4,1e-3,NA,NA,failed_error
448,3,3,1,1e-3,NA,NA,failed_error
288,6,6,2,1e-3,0.4306,NA,success
416,4,6,1,1e-3,0.4363,NA,success
160,2,6,2,1e-3,0.4188,NA,success
64,6,2,2,1e-3,NA,NA,failed_error
320,6,5,1,1e-4,NA,NA,failed_error
384,6,5,2,1e-4,0.4084,NA,success
64,6,2,4,1e-4,NA,NA,failed_error
480,2,5,4,1e-4,0.4199,NA,success
160,3,6,4,1e-4,NA,NA,failed_error
480,2,5,2,1e-4,0.4149,NA,success
64,6,5,1,1e-4,NA,NA,failed_error
192,6,3,1,1e-4,0.4739,NA,success
224,2,3,4,1e-4,0.3701,NA,success
64,4,4,1,1e-4,0.4442,NA,success
416,6,6,4,1e-4,NA,NA,failed_error
320,2,6,1,1e-4,0.4835,NA,success
352,6,6,2,1e-4,NA,NA,failed_error
384,4,4,2,1e-4,0.4247,NA,success
288,4,2,4,1e-4,0.4275,NA,success
96,4,2,1,1e-4,0.4677,NA,success
224,4,5,2,1e-4,0.4112,NA,success
160,4,3,1,1e-4,0.4615,NA,success
448,3,6,1,1e-4,NA,NA,failed_error
256,5,4,2,1e-4,NA,NA,failed_error
